,Measures,Single operand,Numerator,Denominator
7628,amount spend per student overall_ by level _primary_ secondary and university_ and by institution,,,
7629,annual expenditure on public and private educational institutions compared to gdp per capita,,,
7630,annual expenditure on public and private educational institutions per pupilstudent,,,
7631,average annual boarding fee,,,
7632,average capital costs per student by college,,,
7633,educational spend in real terms as a percentage of gdp,,['a percentage spend'],['Total number of a percentage']
7634,expenditure in institutions per student,,,
7635,expenditure in primary_ secondary and post_secondary non_tertiary education,,,
7636,expenditure in tertiary education,,,
7637,expenditure on education as percentage of gdp or public expenditure,,['education'],['Total number of gdp']
7638,expenditure on education in constant prices,,,
7639,expenditure on education in current prices,,,
7640,expenditure on public and private educational institutions,,,
7641,expenditure on public educational institutions,,,
7642,expenditure per student in primary_ secondary and post_secondary non_tertiary education,,,
7643,expenditure per student in tertiary education,,,
7644,gov. funding for operating expenses per student _$_ for institute of technical education _ite_,,,
7645,gov. funding for operating expenses per student _$_ for junior colleges,,,
7646,gov. funding for operating expenses per student _$_ for polytechnics,,,
7647,gov. funding for operating expenses per student _$_ for primary schools,,,
7648,gov. funding for operating expenses per student _$_ for secondary schools,,,
7649,index of change in public expenditure on educational institutions,,,
7650,operating costs per student by college,,,
7651,private expenditure in institutions as percentage of public and private funding,,['institutions'],['Total number of public and private funding']
7652,private expenditure on education as percentage of gdp,,['education'],['Total number of gdp']
7653,private expenditure on educational institutions for all levels of education,,,
7654,private expenditure on educational institutions in tertiary education,,,
7655,private expenditure on primary_ secondary and post_secondary education institutions,,,
7656,public education expenditure as percentage of public expenditure and gdp,,['public expenditure'],['Total number of gdp']
7657,public education expenditure spent as students aid_ by type of aid ,,,
7658,public expenditure on education as percentage of total gov. expenditure,,['education'],['Total number of total gov. expenditure']
7659,public expenditure on educational institutions for all levels of education,,,
7660,public expenditure on primary_ secondary and post_secondary education institutions,,,
7661,public expenditure per pupil as percentage of gdp per capita. all levels,,['pupil'],['Total number of gdp']
7662,public expenditure per pupil as percentage of gdp per capita. tertiary,,['pupil'],['Total number of gdp']
7663,share of public expenditure on educational institutions,,,
7664,spending on higher education as a percentage of gdp,,['a percentage spending'],['Total number of a percentage']
7665,spending on research in universities as percentage of country gdp,,['universities spending'],['Total number of universities']
7666,spending per student in primary and secondary schools,,,
7667,staffing costs per student by college,,,
7668,total educational spend in real terms,['total educational spend in real terms'],,
7669,total expenditure on educational institutions for all levels of education,['total expenditure on educational institutions for all levels of education'],,
7670,total expenditure on educational institutions in tertiary education,['total expenditure on educational institutions in tertiary education'],,
7671,total expenditure on primary_ secondary and post_secondary education institutions,['total expenditure on primary_ secondary and post_secondary education institutions'],,
7672,total financial aid to students,['total financial aid to students'],,
7673,total funding of education,['total funding of education'],,
7674,total investments in education and training,['total investments in education and training'],,
7675,total public expenditure on education,['total public expenditure on education'],,
7676,total public expenditure on education as a percentage of gdp,,['education a percentage gdp'],['a percentage gdp']
7677,total public expenditure on education _per capita_,['total public expenditure on education _per capita_'],,
7678,total public expenditure on education per capita _ us dollar per capita,['total public expenditure on education per capita _ us dollar per capita'],,
7679,total public investment in higher education system,['total public investment in higher education system'],,
7680,total spending on national human resources,['total spending on national human resources'],,
7681,trends in relative earnings for age group 25_64 with tertiary education_ females,,,
7682,trends in relative earnings for age group 25_64 with tertiary education_ males,,,
7683,number of abroad scholarship program,,,
7684,number of accredited academic programs in the community colleges,,,
7685,number of annual forums done for professionals,,,
7686,number of awareness sessions conducted for new and existing scholarship students,,,
7687,number of capacity building events for higher education institutions,,,
7688,number of developed policies and procedures for external evaluation,,,
7689,number of educational centers and institutes created,,,
7690,number of faculty and student exchanges,,,
7691,number of higher education students studying science_ math and technology,,,
7692,number of new technical and applied universities,,,
7693,number of persons annually dispatched on postgraduate scholarships,,,
7694,number of programs and courses offered to the community,,,
7695,number of published system_wide reports,,,
7696,number of research landscape studies,,,
7697,number of restructured faculty departments,,,
7698,number of scholarship follow up reports generated to the scholarship committee,,,
7699,number of strategic research plan implementation,,,
7700,number of workshops_ seminars and intl conferences organized or sponsored,,,
7701,percent accredited programs,,,
7702,percent annual training plan in place for all public teachers,,,
7703,percent distribution of ph.d.s by education sector_ region_ nationality and gender,,,
7704,percent execution of the abroad scholarships program,,,
7705,percent female students to total students in universities and colleges,,,
7706,percentage of community college student who complete an award within 3 years,,['community college student complete'],['Total number of community college student']
7707,percentage of community college student who transfer to a four_year institution,,['community college student transfer'],['Total number of community college student']
7708,percentage of community colleges meeting accreditation standards,,['community colleges'],"[""Total number of ['community', 'colleges', 'meeting', 'accreditation', 'standards']""]"
7709,percentage of covered institutions in the assessment of learning outcomes per discipline,,['covered institutions the assessment learning outcomes discipline'],['learning outcomes discipline']
7710,percentage of graduates not finding work in their field within 1 year,,['graduates finding'],['Total number of graduates']
7711,percentage of higher education institutions that have received formal performance review,,['higher education institutions received'],['Total number of higher education institutions']
7712,percentage of higher education students in technical programs,,['higher education students'],['Total number of technical programs']
7713,percentage of institutions covered in the assessment of learning outcomes,,['institutions covered'],['Total number of institutions']
7714,percentage of institutions that have received formal performance review,,['institutions received'],['Total number of institutions']
7715,percentage of internal stakeholdersâ€™ awareness and perception on projects,,['internal stakeholdersâ€™ awareness perception projects'],['perception projects']
7716,number of participation in job_related non formal educationtraining by size of the local unit,,,
7717,number of participation in non formal education by main reason for participating in the taught activity,,,
7718,number of participation in non formal taught activities within paid hours,,,
7719,number of participation in non formal taught activity within paid working hours,,,
7720,number of participation in non formal training by number of activities,,,
7721,number of participation in non formal training by number of taught activities,,,
7722,number of participation in non formal training by age,,,
7723,number of participation in non formal training by degree,,,
7724,number of participation in non formal training by educational attainment,,,
7725,number of participation in non formal training by sex,,,
7726,number of participation of employed persons in non formal education activities on foreign languages,,,
7727,number of participation of employed persons in non formal educationtraining activities on computers,,,
7728,number of participation of employed persons in non formal educationtraining by field of study,,,
7729,number of participation of employed persons in non formal educationtraining by occupation,,,
7730,number of participation of employed persons in non formal educationtraining by sex,,,
7731,number of participations in informal learning by age,,,
7732,number of participations in informal learning by degree,,,
7733,number of participations in informal learning by working status,,,
7734,computer based learning participants by age,,,
7735,computer based learning participants by educational attainment,,,
7736,mean volume of hours per employed participant in non formal education,,,
7737,mean volume of hours per employed participant in non formal training,,,
7738,mean volume of hours per participant in non formal educationtraining by field of learning,,,
7739,mean volume of hours per participant in non formal educationtraining by sex,,,
7740,participants studying by making use of educational broadcasting,,,
7741,participants studying in libraries or learning centers,,,
7742,self studying _with printed materials_ participants by age,,,
7743,self studying _with printed materials_ participants by working status,,,
7744,number maturity of online public service delivery,,,
7745,number of accession and discarding at research libraries by library_ inventory and material type,,,
7746,number of activities at libraries by region_ type and activity,,,
7747,number of annual visits per 1000 population,,,
7748,number of average daily visits,,,
7749,number of circulations in public libraries,,,
7750,number of full time employees at public libraries by region and category of staff,,,
7751,number of interlibrary loans at research libraries with special obligations by library and source,,,
7752,number of loans at research libraries with special obligations by library_ inventory and type of recipient,,,
7753,number of national library branches,,,
7754,number of print materials available,,,
7755,number of public libraries by region and activity,,,
7756,number of public libraries by regions,,,
7757,number of public libraries economy by region and revenueexpenditure,,,
7758,number of public libraries interlibrary loans by region_ inventory and material type,,,
7759,number of public libraries key figures by region and key figures,,,
7760,number of public libraries physical materials by region_ collection_ inventory and material type,,,
7761,number of public libraries stock and use of electronic resources by location,,,
7762,number of public searches of electronic databases,,,
7763,number of renewals at other research libraries by library_ inventory,,,
7764,number of research in libraries with special obligations by region and activity,,,
7765,number of research libraries activities,,,
7766,number of stock of book loans of public libraries by regions,,,
7767,number of stock of books of public libraries by regions,,,
7768,number of stock of electronic resources at research libraries by library_ inventory_ material type_ and location,,,
7769,number of university libraries,,,
7770,percent implementation of the centralized online library management system,,,
7771,percentage of accredited public libraries,,['accredited public'],"[""Total number of ['accredited', 'public', 'libraries']""]"
7772,percentage of certified public library directors,,['certified public library directors certified'],['Total number of certified public library directors']
7773,percentage of customers who get the information they need,,['customers get'],['Total number of customers']
7774,percentage of libraries submitting annual survey data,,['libraries submitting'],['Total number of libraries']
7775,percentage of overall satisfaction with library services,,['overall satisfaction'],['Total number of library services']
7776,percentage of people with access through their public library to electronic informational databases,,['people access their public library electronic informational databases'],['their public library electronic informational databases']
7777,percentage of public and academic libraries participating in resource sharing programs,,['public and academic libraries participating'],['Total number of public and academic libraries']
7778,percentage of public libraries meeting key standards,,['public libraries meeting'],['Total number of public libraries']
7779,percentage of public libraries open 45 hours or more per week,,['public libraries open'],['Total number of public libraries']
7780,percentage of public libraries participating in direct aid program,,['public libraries participating'],['Total number of public libraries']
7781,percentage of use of electronical ressources at other research libraries by library,,['use electronical ressources other research libraries library'],['other research libraries library']
7782,percent rate of library circulation,,,
7783,percent use of public libraries,,,
7784,number of awards per annum,,,
7785,number of companies served,,,
7786,number of educational publications per year,,,
7787,number of educational_ research and administrative applications,,,
7788,number of established student exchange programs,,,
7789,number of excellence research centers,,,
7790,number of external reports submitted on time,,,
7791,number of external researchers supported to carry out research activities in schools,,,
7792,number of fulfilled research requests sent by other entities,,,
7793,number of grants and contracts received,,,
7794,number of industry investments in direct strategic research,,,
7795,number of interface between educational institutions and industries,,,
7796,number of internationally research contributing to industry social and the strategic economic needs,,,
7797,number of intl research projects undertaken per year,,,
7798,number of intl researches participated in,,,
7799,number of joint research committees and agreements signed,,,
7800,number of journal articles published to support economic development,,,
7801,number of major research projects undertaken and progress made versus investments applied,,,
7802,number of new methodologies to improve productivity applied at the ministry level,,,
7803,number of presented research papers in intl conferences,,,
7804,number of press reports about major research outcomes,,,
7805,number of publications developed and released,,,
7806,number of publications in quality peer reviewed journals per annum,,,
7807,number of publications made in quality journals per annum by educational institution,,,
7808,number of published research papers in intl journals,,,
7809,number of recommendations issued,,,
7810,number of reports and guidelines needed by schools on specific challenges were not available,,,
7811,number of research findings and reports published through education ministry public website,,,
7812,number of research findings and reports through printed publications,,,
7813,number of research findings presented to education ministry management,,,
7814,number of researches developed in schools,,,
7815,number of start up research initiatives,,,
7816,number of survey that address national identity,,,
7817,number of technology jobs provided by companies _members and graduate_,,,
7818,number programs in science_ technology and innovation,,,
7819,number scientific periodicals published by country universities,,,
7820,percent completion of the annual strategic initiative_s_ assigned to the research division,,,
7821,percent growth of permits to publish books,,,
7822,percent increase in income through the application of new technology,,,
7823,percentage of districts with approved career development plans,,['districts approved'],['Total number of districts']
7824,percentage of gross domestic product spent on research,,['gross domestic product spent'],['Total number of gross domestic product']
7825,percentage of knowledge transfer developed between companies and universities,,['knowledge transfer developed'],['Total number of knowledge transfer']
7826,percentage of labor market needs by specialization vs. students undertaking required courses,,['labor market undertaking'],['Total number of labor market']
7827,percentage of local school districts visited annually by school improvement team,,['local school districts visited'],['Total number of local school districts']
7828,percentage of parentsâ€™ participation rate in annual surveys,,['parentsâ€™ participation rate'],['Total number of annual surveys']
7829,percentage of persons surveyed who attended education workshops reported programs were beneficial,,['persons surveyed'],['Total number of persons']
7830,percentage of research referenced publications per million of the population,,['research referenced'],['Total number of research']
7831,percentage of schools staffâ€™s participation rate in annual surveys,,['schools staffâ€™s participation rate annual surveys'],['staffâ€™s participation rate annual surveys']
7832,percentage of studentsâ€™ participation rate in education ministry surveys,,['studentsâ€™ participation rate'],['Total number of education ministry surveys']
7833,percentage of training and development plan implemented,,['training and development plan implemented'],['Total number of training and development plan']
7834,percent participation rate in service area,,,
7835,percent population with ict relevant degrees,,,
7836,annual growth rate of enrolments in technical colleges and industrial institutes ,,,
7837,enrollment percent in science and technology programs,,,
7838,hours devoted to teaching of science_ math and technology in education system,,,
7839,net number of country citizens with advanced degrees in technical fields,,,
7840,net number of expats with advanced degrees in technical fields attracted,,,
7841,randd facilities available,,,
7842,researchers percent _working in scientific research in universities_ per million of the population,,,
7843,number of classroom cards distributed,,,
7844,number of graduates by age,,,
7845,number of graduates by age and field of education,,,
7846,number of graduates by sex,,,
7847,number of migrant education students,,,
7848,number of new entrants by sex,,,
7849,number of pupils in upper secondary education enrolled in vocational stream,,,
7850,number of pupils learning arabic,,,
7851,number of pupils learning english,,,
7852,number of pupils learning french,,,
7853,number of pupils learning german,,,
7854,number of science and technology graduates by gender,,,
7855,number of students by age,,,
7856,number of students by level of education,,,
7857,number of students by modern foreign language studied,,,
7858,number of students by study intensity _full_time_ part_time_,,,
7859,number of students by type of institutions _private or public_,,,
7860,number of teens not attending school and not working,,,
7861,number of tertiary students by field of education,,,
7862,number of youth in after_school educational programs,,,
7863,percent female entrants by field of education,,,
7864,percent graduates from abroad _foreignersmobile students_,,,
7865,percent net entry rate by age,,,
7866,percentage of 18_year_olds in education,,['18_year_olds'],['Total number of education']
7867,percentage of education attainment of persons aged 25_39,,['education attainment aged'],['Total number of education attainment']
7868,percentage of education attainment_ by age,,['education attainment'],['Total number of age']
7869,percentage of education attainment_ by sex,,['education attainment'],['Total number of sex']
7870,percentage of pre_transferred students,,['pre_transferred students'],"[""Total number of ['pre_transferred', 'students']""]"
7871,percentage of pupils with special needs enrolled in mainstream schools by region and education level,,['pupils enrolled'],['Total number of pupils']
7872,percentage of students in tertiary education who are non_citizens,,['students tertiary education who non_citizens'],['who non_citizens']
7873,percentage of students in tertiary education who are non_residents,,['students tertiary education who non_residents'],['who non_residents']
7874,percentage of students in tertiary education with prior education from another country,,['students tertiary education prior education another country'],['prior education another country']
7875,percentage of students transitioned from private centers to education ministry schools per year,,['students transitioned'],['Total number of students']
7876,percentage of teens not attending school and not working,,['teens attending'],['Total number of teens']
7877,percent share of women among tertiary students,,,
7878,percent students studying part_time by age,,,
7879,average attendance rates in x grade,,,
7880,completion rate,,,
7881,drop out rate by education level_ education sector_ region_ nationality and gender,,,
7882,entrants in percentage of secondary school graduates,,['percentage'],['Total number of secondary school graduates']
7883,foreign languages learnt per pupil,,,
7884,foreign students as percentage of total students by origin,,['total students'],['Total number of origin']
7885,foreign students in tertiary education by country of citizenship,,,
7886,gross graduation rate,['total graduation rate'],,
7887,high school dropout rate,,,
7888,high school graduation rate,,,
7889,high school graduation rate for african_american students,,,
7890,high school graduation rate for hispanic students,,,
7891,high school graduation rate for white students,,,
7892,median age,,,
7893,net entry rate,['total entry rate'],,
7894,pupilteacher ratio in primary education,,,
7895,repetition rate by education level_ education sector_ region_ nationality and gender,,,
7896,student _ teacher ratio,,,
7897,students abroad as percentage of students in country of origin,,['students'],['Total number of country']
7898,number of educational assessment  mathematics _survey of 15_year olds_,,,
7899,number of educational assessment  sciences _survey of 15_year olds_,,,
7900,number of educational assessment completed,,,
7901,percentage of produced standardized test for student performance,,['produced standardized test produced'],['Total number of produced standardized test']
7902,percentage of students passing the appropriate end of course test,,['students passing'],['Total number of students']
7903,percent tertiary attainment for age group 25_34,,,
7904,percent tertiary attainment for age group 25_64,,,
7905,percent tertiary attainment for age group 55_64,,,
7906,percent tertiary entry rates,,,
7907,percent tertiary graduation rates,,,
7908,average ranking of schools,,,
7909,average student test results in math and science,,,
7910,grade 4 _ timss _overall maths and science_,,,
7911,grade 8 _ pisa _overall reading_ maths and science_,,,
7912,graduation rate _ tertiary level,,,
7913,graduation rate at upper _ secondary level,,,
7914,level of compliance with pisa study participation rates,,,
7915,level of compliance with timss study participation rates,,,
7916,mean scores on the mathematics scale in pisa,,,
7917,mean scores on the mathematics scale in pisa_ females,,,
7918,mean scores on the mathematics scale in pisa_ males,,,
7919,mean scores on the science scale in pisa,,,
7920,mean scores on the science scale in pisa_ females,,,
7921,mean scores on the science scale in pisa_ males,,,
7922,purls literacy  reading result,,,
7923,score difference on the mathematics scale in pisa_ difference _males _ females_,,,
7924,score difference on the science scale in pisa_ difference _males _ females_,,,
7925,standard error on the mathematics scale in pisa,,,
7926,standard error on the mathematics scale in pisa_ difference _males _ females_,,,
7927,standard error on the mathematics scale in pisa_ females,,,
7928,standard error on the mathematics scale in pisa_ males,,,
7929,standard error on the science scale in pisa,,,
7930,standard error on the science scale in pisa_ difference _males _ females_,,,
7931,standard error on the science scale in pisa_ females,,,
7932,standard error on the science scale in pisa_ males,,,
7933,tams math result,,,
7934,timss science result,,,
7935,timss score,,,
7936,number of advisory body established for industries,,,
7937,number of industry linked programs with student destinations following graduation,,,
7938,number of school graduates that are recruited by local industry,,,
7939,number of school leavers that are recruited by local industry,,,
7940,number of schools making adequate yearly progress,,,
7941,number of students,,,
7942,number of trained statisticians in country vs demand,,,
7943,number of vocational trainings in cooperation with private sector,,,
7944,percent distribution of graduates by qualification major,,,
7945,percentage of children out of school_ primary,,['children'],['Total number of school']
7946,percentage of children out of school_ primary_ female,,['children school _ primary_ female'],['school _ primary_ female']
7947,percentage of children out of school_ primary_ male,,['children'],['Total number of school']
7948,percentage of ft 1st degree starters at institution with progression remain unchanged over next few years,,['ft 1st degree starters remain'],['Total number of ft 1st degree starters']
7949,percentage of full_time first degree leavers in employment andor further study,,['full_time first degree leavers employment andor'],['employment andor']
7950,percentage of graduates from vocational colleges and university in employment,,['graduates vocational colleges university employment'],['university employment']
7951,percentage of intl curricula developed and implemented,,['intl curricula developed'],['Total number of intl curricula']
7952,percentage of majors taken by part_time undergraduate students successfully completed,,['majors taken'],['Total number of majors']
7953,percentage of phds awarded per proportion of academic staff costs,,['phds awarded'],['Total number of phds']
7954,percentage of phds awarded per proportion of government funding,,['phds awarded'],['Total number of phds']
7955,percentage of pt 1st degree entrants who do not continue in higher education beyond their 2nd year,,['pt 1st degree entrants continue'],['Total number of pt 1st degree entrants']
7956,percentage of recent school graduates in further education,,['recent school graduates'],['Total number of further education']
7957,percentage of research grants and contracts awarded per proportion of academic staff costs,,['research grants awarded'],['Total number of research grants']
7958,percentage of research grants and contracts awarded per proportion of funding,,['research grants awarded'],['Total number of research grants']
7959,percentage of school graduates in further education _by type of education_,,['school graduates further education _ type education'],['_ type education']
7960,percentage of school leavers not in education _by employment status_,,['school leavers education _ employment status'],['_ employment status']
7961,percentage of students completing courses,,['students completing'],['Total number of students']
7962,percentage of tvtc graduates who have followed an industrial internship,,['who followed'],['Total number of who']
7963,percent pass rate overall by institution,,,
7964,percent return after a year out â€“ ft entrants who started at universitycollege _ left_ and came back,,,
7965,annual dropout rate,,,
7966,capacity expansion of tvtc in number of graduates,,,
7967,educational attainment of the population,,,
7968,graduation rate from tertiary level _pearson_,,,
7969,literacy rate_ adult_ 15 years and above_ female ,,,
7970,literacy rate_ adult_ 15 years and above_ male ,,,
7971,literacy rate_ youth_ 15 _ 24 years_ female ,,,
7972,literacy rate_ youth_ 15 _ 24 years_ male ,,,
7973,non_continuation rate of undergraduate students_ for young and mature full_time,,,
7974,overall productivity of labour _ _gdp at us dollar ppp per worker_,,,
7975,school completion rate as scheduled _time_,,,
7976,total number of graduates,,,
7977,total college graduation rate,['total college graduation rate'],,
7978,unemployment of those with tertiary level edu. over total unemployed,,,
7979,number of approve surveys for all students,,,
7980,number of assessment programs being delivered,,,
7981,number of classroom assistant appointed to schools,,,
7982,number of classroom observations conduct annually,,,
7983,number of conducted questionnaire surveys and analysis on specific educational issues,,,
7984,number of customer satisfaction surveys established,,,
7985,number of demographic report for existing teaching workforce,,,
7986,number of establishments with employment manual,,,
7987,number of full time professional advisers and trainers,,,
7988,number of high school with on_time graduation,,,
7989,number of identified needs,,,
7990,number of inspections completed for private and public schools,,,
7991,number of inspections of private schools,,,
7992,number of inspections of public schools,,,
7993,number of inspectors trained as associate inspectors,,,
7994,number of marketing plan to promote education and success,,,
7995,number of monitoring inspections conducted on private schools,,,
7996,number of monitoring inspections conducted on public schools,,,
7997,number of monitoring visits for implementing the regulatory framework for private schools,,,
7998,number of national_ regional and intl awards received,,,
7999,number of new higher education institutions that conform to higher education standards,,,
8000,number of newly certified teachers in meeting the highly qualified criteria,,,
8001,number of performance appraisal and reward system in place,,,
8002,number of policies and procedures for the implementation of the research accountability mechanism,,,
8003,number of school net hours by level of education _primary_ secondary_,,,
8004,number of school visits to inform policy development and implementation guide,,,
8005,number of schools holding at least 1 best practice award,,,
8006,number of schools holding at least 1 sustained achievement award,,,
8007,number of schools holding the school excellence award,,,
8008,number of schools on the needs improvement list,,,
8009,number of schools removed from the needs improvement list,,,
8010,number of schools with sound processes and sustained results _least 400 points in school assessment_,,,
8011,number of survey measured,,,
8012,number of thematic inspections conducted,,,
8013,number of workshops for implementing the regulatory framework for private schools,,,
8014,percent completion rate at grade 12,,,
8015,percent completion rate at grade 7,,,
8016,percent completion rate at grade 9,,,
8017,percent curricula redesigned to meet intl standards,,,
8018,percent dropout rate from tertiary education,,,
8019,percentage of 11th graders proficient or higher in mathematics,,['11th graders'],['Total number of mathematics']
8020,percentage of 11th graders proficient or higher in reading comprehension,,['11th graders reading'],['Total number of 11th graders']
8021,percentage of 11th graders proficient or higher in science,,['11th graders'],['Total number of science']
8022,percentage of 4th graders proficient or higher in mathematics,,['4th graders'],['Total number of mathematics']
8023,percentage of 4th graders proficient or higher in reading comprehension,,['4th graders reading'],['Total number of 4th graders']
8024,percentage of 8th graders proficient or higher in mathematics,,['8th graders'],['Total number of mathematics']
8025,percentage of 8th graders proficient or higher in reading comprehension,,['8th graders reading'],['Total number of 8th graders']
8026,percentage of 8th graders proficient or higher in science,,['8th graders'],['Total number of science']
8027,percentage of assessedanalyzed needs,,['assessedanalyzed needs'],"[""Total number of ['assessedanalyzed', 'needs']""]"
8028,number of admission workshop for school principals_ vice principals_ registrars,,,
8029,number of awareness workshops to education ministry school administration,,,
8030,number of chaired professorships in country universities,,,
8031,number of principals and teachers receiving a minimum level of training,,,
8032,number of teachers,,,
8033,number of teachers and academic staff by age,,,
8034,number of teachers and academic staff by employment status _full_time_ part_time_,,,
8035,number of teachers and academic staff by sex,,,
8036,number of teachers and trainers by age distributions,,,
8037,number of teachers appointed to schools per calendar year,,,
8038,number of teachers recruiting events held annually,,,
8039,number of teaching certificate transactions annually,,,
8040,number of teaching hours per school year,,,
8041,number of trained teachers by education level_ education sector_ region_ nationality and gender,,,
8042,number of training modules produced for principal and teacher training,,,
8043,percent completion of school staffing study,,,
8044,percent filling of vacancies in school service division,,,
8045,percent in the ministry staff who hold qualifications above the secondary school,,,
8046,percentage of accredited teachers,,['accredited teachers'],"[""Total number of ['accredited', 'teachers']""]"
8047,percentage of completion of the schools manpower estimate requirements on time,,['completion the schools manpower estimate requirements time'],['the schools manpower estimate requirements time']
8048,percentage of faculty members who hold a doctoral degree,,['faculty members hold'],['Total number of faculty members']
8049,percentage of filled position rate in schools operation sector,,['filled position rate filled'],['Total number of filled position rate']
8050,percentage of new teachers certified,,['new teachers certified'],['Total number of new teachers']
8051,percentage of primary school teachers with unit degree,,['primary school teachers'],['Total number of unit degree']
8052,percentage of principals engaged in joint cluster school improvement network,,['principals engaged'],['Total number of principals']
8053,percentage of principals with a performance evaluation that informs a professional development plan,,['principals informs'],['Total number of principals']
8054,percentage of principles who receive required training,,['principles receive'],['Total number of principles']
8055,percentage of professional development being undertaken by teachers,,['professional development undertaken'],['Total number of professional development']
8056,percentage of schools that use teacher performance evaluation to inform professional development needs,,['schools use'],['Total number of schools']
8057,percentage of social and national studies teachers in public and private schools,,['social and national studies teachers'],['Total number of public and private schools']
8058,percentage of staff completed training as per development plan,,['staff completed'],['Total number of staff']
8059,percentage of staff trained on professional standards_ licensing and performance evaluation,,['staff trained'],['Total number of staff']
8060,percentage of targeted staff having completed pdps by end of school year,,['targeted staff targeted'],['Total number of targeted staff']
8061,percentage of targeted staff having initiated pdps at the beginning of the school year,,['targeted staff targeted'],['Total number of targeted staff']
8062,percentage of teacher participating in the required number of hours of training,,['teacher participating'],['Total number of teacher']
8063,percentage of teacher qualification and certification,,['teacher qualification'],['Total number of certification']
8064,percentage of teachers in core academic areas appropriately licensed and assigned,,['teachers appropriately'],['Total number of teachers']
8065,percentage of teachers meeting the definition of highly qualified teachers,,['teachers meeting'],['Total number of teachers']
8066,percentage of teachers participating in the required number of hours of training _30 hours per year_,,['teachers participating'],['Total number of teachers']
8067,percentage of teachers stays abroad as percentage of academic staff,,['teachers stays'],['Total number of teachers']
8068,percentage of teachers who are trained during the year,,['teachers trained'],['Total number of teachers']
8069,percentage of teachers who express satisfaction with monthly training,,['teachers express'],['Total number of teachers']
8070,percentage of teachers who have completed training,,['teachers completed'],['Total number of teachers']
8071,percentage of teachers who hold a doctorate,,['teachers hold'],['Total number of teachers']
8072,percentage of teachers with technology certification,,['teachers'],['Total number of technology certification']
8073,percent overall teacher qualification level,,,
8074,percent teachers who have passed their ict test,,,
8075,percent teachers with appropriate supplies in science and mathematics,,,
8076,acceptance and arrival rate of teachers interviewed and given a letter of offer,,,
8077,age of principals _average_,,,
8078,average years of working experience as a teacher in total,,,
8079,class_time spent on actual teaching and learning tasks ,,,
8080,class_time spent on classroom management ,,,
8081,class_time time spent on administrative tasks such as marking attendance ,,,
8082,completion of teacher education or training programme ,,,
8083,female principals ,,,
8084,individual time per week spent planning and preparing lessons _hours_,,,
8085,mean age of teachers,,,
8086,principals believing that the teaching profession is valued in society ,,,
8087,principals experience _in years_,,,
8088,principals who are satisfied with their job ,,,
8089,pupil to teacher ratio by education level_ education sector and region,,,
8090,pupil_teacher ratio _ primary,,,
8091,pupil_teacher ratio _primary education_,,,
8092,pupil_teacher ratio _secondary education_,,,
8093,rate of training of administrators in secondary schools,,,
8094,ratio of students to teaching staff,,,
8095,teacher salary at primarysecondary levels over the average gross wage,,,
8096,teachers having a mentor assigned ,,,
8097,teachers having taken part in a formal induction programme ,,,
8098,teachers having their classrooms directly observed in schools with formal appraisal practices ,,,
8099,teachers satisfaction rate,,,
8100,teachers that pass their probation period,,,
8101,teachers who are mentors to another colleague ,,,
8102,teachers who are satisfied with their job ,,,
8103,teachers who believe that the teaching profession is valued in society ,,,
8104,teachers who believe they can help their students to think critically ,,,
8105,teachers who believe they can help their students to value learning ,,,
8106,teachers who report a high level of need to develop the skills to teach special needs students ,,,
8107,teachers who report a high level of need to develop their ict skills for teaching ,,,
8108,teachers who report that feedback has improved their teaching practice ,,,
8109,teachers who report that feedback increased number of hrs of professional development they undertake ,,,
8110,teachers who undertook professional development in the last 12 months ,,,
8111,teachers working in schools that use some kind of formal appraisal ,,,
8112,teaching staffing rate _including the reserve_,,,
8113,teaching time per week _hours_,,,
8114,time spent marking and correcting work _hours per week_,,,
8115,turnover rate of teachers _retention_,,,
8116,number of 14_19 learning diplomas,,,
8117,number of culture and traditions survey,,,
8118,number of enrolled students in religious school,,,
8119,number of enrolled students in school,,,
8120,number of graduates of vocational training programs,,,
8121,number of performance learning centers,,,
8122,number of youths aged between 15 and 19 who are not in education nor in employment_ females,,,
8123,number of youths aged between 15 and 19 who are not in education nor in employment_ males,,,
8124,percent achievement at level 4 or above in both english and math at key stage 2,,,
8125,percent achievement at level 5 or above in both english and math at key stage 3,,,
8126,percent achievement at level 5 or above in science at key stage 3,,,
8127,percent achievement gap between pupils eligible for free school meals and pupils achieving expected level,,,
8128,percent achievement of 2 or more a_c grades in science,,,
8129,percent achievement of 5 or more a_c grades in english and math,,,
8130,percent achievement of a level 2 qualification by the age of 19,,,
8131,percent achievement of a level 3 qualification by the age of 19,,,
8132,percent achievement of at least 78 points at early years with at least 6 in each of the scales in main topics,,,
8133,percent inequality gap in the achievement of a level 2 qualification by the age of 19,,,
8134,percent inequality gap in the achievement of a level 3 qualification by the age of 19,,,
8135,percent key stage 2 attainment for black and minority ethnic groups,,,
8136,percent key stage 4 attainment for black and minority ethnic groups,,,
8137,percent mentored youth who establish themselves in employment,,,
8138,percent mentored youth who improved their academic results,,,
8139,percentage of at_risk youth that graduate from the youth challenge academy,,['at_risk youth'],['Total number of the youth challenge academy']
8140,percentage of graduates that meet standard for success 6 months after graduation,,['graduates meet'],['Total number of graduates']
8141,percentage of illiterate youth _females_ by region_ nationality and gender,,['illiterate youth _ region_ nationality gender'],['region_ nationality gender']
