,Measures,Single_operand,Numerator,Denominator
421,average days for software request fulfillment,,[' days for software request fulfillment '],['average days for software request fulfillment ']
422,average days late per late order,,[' days late per late order '],[' late order ']
423,average days necessary for peer company to certify a supplier or vendor,,[' days necessary for peer company to certify a supplier or vendor '],[' certify a supplier or vendor ']
424,average days needed to collect data produce and submit a regulatory report,,[' days needed to collect data produce and submit a regulatory report '],[' collect data produce and submit a regulatory report ']
425,average days needed to push advertising material from conception to approval,,[' days needed to push advertising material from conception to approval '],[' push advertising material from conception to approval ']
426,average days of electricity connection efficiency,,[' days of electricity connection efficiency '],[' electricity connection efficiency ']
427,average days of recovered debt for a single collector,,[' days of recovered debt for a single collector '],[' recovered debt for a single collector ']
428,average days of telecommuting per fte,,[' days of telecommuting per fte '],[' telecommuting per fte ']
429,average days of vacancy duration,,[' days of vacancy duration '],[' vacancy duration ']
430,average days of vacancy duration management,,[' days of vacancy duration management '],[' vacancy duration management ']
431,average days of vacancy duration staff,,[' days of vacancy duration staff '],[' vacancy duration staff ']
432,average days of vacancy duration _management,,[' days of vacancy duration _management '],[' vacancy duration _management ']
433,average days of vacancy duration _non_management,,[' days of vacancy duration _non_management '],[' vacancy duration _non_management ']
434,average days of water connection efficiency,,[' days of water connection efficiency '],[' water connection efficiency ']
435,average days on market for real estate,,[' days on market for real estate '],['average days on market for real estate ']
436,average days per engineering change,,[' days per engineering change '],[' engineering change ']
437,average days per patient served,,[' days per patient served '],[' patient served ']
438,average days per schedule change,,[' days per schedule change '],[' schedule change ']
439,average days required for a sales representative to exhaust 100 list of qualified sales leads,,[' days required for a sales representative to exhaust 100 list of qualified sales leads '],[' exhaust 100 list of qualified sales leads ']
440,average days required to perform a full internal audit,,[' days required to perform a full internal audit '],[' perform a full internal audit ']
441,average days sales outstanding,,[' days sales outstanding '],['average days sales outstanding ']
442,average days to approve a patient for the program after enrollment information received,,[' days to approve a patient for the program after enrollment information received '],[' approve a patient for the program after enrollment information received ']
443,average days to clear cases,,[' days to clear cases '],[' clear cases ']
444,average days to fill a vacancy,,[' days to fill a vacancy '],[' fill a vacancy ']
445,average days to purchase,,[' days to purchase '],[' purchase ']
446,average days training per person,,[' days training per person '],[' person ']
447,average deal size,,[' deal size '],['average deal size ']
448,average deal size in sales pipeline,,[' deal size in sales pipeline '],[' sales pipeline ']
449,average debtor days,,[' debtor days '],['average debtor days ']
450,average delay in production of progress reports,,[' delay in production of progress reports '],[' production of progress reports ']
451,average delay in slas review,,[' delay in slas review '],[' slas review ']
452,average delay while in queue before connecting to an agent,,[' delay while in queue before connecting to an agent '],[' queue before connecting to an agent ']
453,average delivery cost,,[' delivery cost '],['average delivery cost ']
454,average delivery fee per order,,[' delivery fee per order '],[' order ']
455,average dentist time per dentist treatment,,[' dentist time per dentist treatment '],[' dentist treatment ']
456,average development costs per new product,,[' development costs per new product '],[' new product ']
457,average development time actual to forecast,,[' development time actual to forecast '],[' forecast ']
458,average deviation of deadline incidents,,[' deviation of deadline incidents '],[' deadline incidents ']
459,average deviation of planned break even time of projects,,[' deviation of planned break even time of projects '],[' planned break even time of projects ']
460,average deviation of planned break_even time of projects,,[' deviation of planned break_even time of projects '],[' planned break_even time of projects ']
461,average deviation of planned budget of projects,,[' deviation of planned budget of projects '],[' planned budget of projects ']
462,average deviation of planned duration of projects,,[' deviation of planned duration of projects '],[' planned duration of projects ']
463,average deviation of planned roi of projects,,[' deviation of planned roi of projects '],[' planned roi of projects ']
464,average dietary energy requirement ader,,[' dietary energy requirement ader '],['average dietary energy requirement ader ']
465,average dietary energy requirement kcalcaputday,,[' dietary energy requirement kcalcaputday '],['average dietary energy requirement kcalcaputday ']
466,average dietary energy supply adequacy,,[' dietary energy supply adequacy '],['average dietary energy supply adequacy ']
467,average difference between asking and selling price of properties,,[' difference between asking and selling price of properties '],[' properties ']
468,average difference between asking and selling price of properties for sale,,[' difference between asking and selling price of properties for sale '],[' properties for sale ']
469,average difference between asking and selling price of properties purchased,,[' difference between asking and selling price of properties purchased '],[' properties purchased ']
470,average direct costs per airplane,,[' direct costs per airplane '],[' airplane ']
471,average direct costs per book title,,[' direct costs per book title '],[' book title ']
472,average direct costs per concert,,[' direct costs per concert '],[' concert ']
473,average direct costs per convention visitor,,[' direct costs per convention visitor '],[' convention visitor ']
474,average direct costs per cover,,[' direct costs per cover '],[' cover ']
475,average direct costs per gas distribution km,,[' direct costs per gas distribution km '],[' gas distribution km ']
476,average direct costs per graduate,,[' direct costs per graduate '],[' graduate ']
477,average direct costs per incoming phone call,,[' direct costs per incoming phone call '],[' incoming phone call ']
478,average direct costs per movie title,,[' direct costs per movie title '],[' movie title ']
479,average direct costs per music title,,[' direct costs per music title '],[' music title ']
480,average direct costs per newspaper edition,,[' direct costs per newspaper edition '],[' newspaper edition ']
481,average direct costs per power connection,,[' direct costs per power connection '],[' power connection ']
482,average direct costs per power distribution km,,[' direct costs per power distribution km '],[' power distribution km ']
483,average direct costs per radio hour,,[' direct costs per radio hour '],[' radio hour ']
484,average direct costs per real estate rental property,,[' direct costs per real estate rental property '],[' real estate rental property ']
485,average direct costs per rental property,,[' direct costs per rental property '],[' rental property ']
486,average direct costs per room,,[' direct costs per room '],[' room ']
487,average direct costs per seat,,[' direct costs per seat '],[' seat ']
488,average direct costs per sewage connection,,[' direct costs per sewage connection '],[' sewage connection ']
489,average direct costs per ship,,[' direct costs per ship '],[' ship ']
490,average direct costs per square foot of property space,,[' direct costs per square foot of property space '],[' square foot of property space ']
491,average direct costs per student,,[' direct costs per student '],[' student ']
492,average direct costs per table,,[' direct costs per table '],[' table ']
493,average direct costs per telecom tower,,[' direct costs per telecom tower '],[' telecom tower ']
494,average direct costs per television hour,,[' direct costs per television hour '],[' television hour ']
495,average direct costs per theater seat,,[' direct costs per theater seat '],[' theater seat ']
496,average direct costs per train,,[' direct costs per train '],[' train ']
497,average direct costs per treatment,,[' direct costs per treatment '],[' treatment ']
498,average direct costs per treatment room,,[' direct costs per treatment room '],[' treatment room ']
499,average direct costs per truck,,[' direct costs per truck '],[' truck ']
500,average direct costs per water distribution km,,[' direct costs per water distribution km '],[' water distribution km ']
501,average director tenure,,[' director tenure '],['average director tenure ']
502,average discharge process time,,[' discharge process time '],['average discharge process time ']
503,average discharge time of patient,,[' discharge time of patient '],[' patient ']
504,average discount margin monetary value of items sold,,[' discount margin monetary value of items sold '],[' items sold ']
505,average discovery candidates per target,,[' discovery candidates per target '],[' target ']
506,average distance traveled by employee,,[' distance traveled by employee '],['average distance traveled by employee ']
507,average distribution per area per user,,[' distribution per area per user '],[' area per user ']
508,average do closure time,,[' do closure time '],['average do closure time ']
509,average dock_to_stock time for handling,,[' dock_to_stock time for handling '],['average dock_to_stock time for handling ']
510,average dock_to_stock time for inspection or testing,,[' dock_to_stock time for inspection or testing '],['average dock_to_stock time for inspection or testing ']
511,average dock_to_stock time for receiving,,[' dock_to_stock time for receiving '],['average dock_to_stock time for receiving ']
512,average dollar amount of small business loans funded,,[' dollar amount of small business loans funded '],[' small business loans funded ']
513,average dollar cost to hire an inside sales representative,,[' dollar cost to hire an inside sales representative '],[' hire an inside sales representative ']
514,average dollar cost to hire an outside sales representative,,[' dollar cost to hire an outside sales representative '],[' hire an outside sales representative ']
515,average dollar value per central purchasing office purchase order,,[' dollar value per central purchasing office purchase order '],[' central purchasing office purchase order ']
516,average dollars per e mail sent or delivered,,[' dollars per e mail sent or delivered '],[' e mail sent or delivered ']
517,average dollars per email sent or delivered,,[' dollars per email sent or delivered '],[' email sent or delivered ']
518,average donation,,[' donation '],['average donation ']
519,average downloads of an app,,[' downloads of an app '],[' an app ']
520,average drilling well costs,,[' drilling well costs '],['average drilling well costs ']
521,average dump time,,[' dump time '],['average dump time ']
522,average duration between off block time and first bag,,[' duration between off block time and first bag '],['average duration between off block time and first bag ']
523,average duration between off block time and last bag,,[' duration between off block time and last bag '],['average duration between off block time and last bag ']
524,average duration between off_block time and first_bag,,[' duration between off_block time and first_bag '],['average duration between off_block time and first_bag ']
525,average duration between off_block time and last_bag,,[' duration between off_block time and last_bag '],['average duration between off_block time and last_bag ']
526,average duration in position,,[' duration in position '],[' position ']
527,average duration of a strike,,[' duration of a strike '],[' a strike ']
528,average duration of changes closed relative to avg. allowed duration of those changes closed,,[' duration of changes closed relative to avg. allowed duration of those changes closed '],[' changes closed relative to avg. allowed duration of those changes closed ']
529,average duration of interruptions saidi,,[' duration of interruptions saidi '],[' interruptions saidi ']
530,average duration of interruptions in electricity supply in minutes,,[' duration of interruptions in electricity supply in minutes '],[' interruptions in electricity supply in minutes ']
531,average duration of interruptions in power provision,,[' duration of interruptions in power provision '],[' interruptions in power provision ']
532,average duration of interruptions in water provision,,[' duration of interruptions in water provision '],[' interruptions in water provision ']
533,average duration of sponsored research contracts,,[' duration of sponsored research contracts '],[' sponsored research contracts ']
534,average duration of stay and selected former citizenships,,[' duration of stay and selected former citizenships '],[' stay and selected former citizenships ']
535,average duration of the product and market testing phase within the product development life cycle,,[' duration of the product and market testing phase within the product development life cycle '],[' the product and market testing phase within the product development life cycle ']
536,average duration of unemployment,,[' duration of unemployment '],[' unemployment ']
537,average duration of unemployment insurance benefits,,[' duration of unemployment insurance benefits '],[' unemployment insurance benefits ']
538,average duration of unemployment insurance benefits in weeks,,[' duration of unemployment insurance benefits in weeks '],[' unemployment insurance benefits in weeks ']
539,average earning of service partner,,[' earning of service partner '],[' service partner ']
540,average earnings after tax of service partner,,[' earnings after tax of service partner '],[' service partner ']
541,average earnings amount of service partner,,[' earnings amount of service partner '],[' service partner ']
542,average editorial cost per broadcast hour,,[' editorial cost per broadcast hour '],[' broadcast hour ']
543,average effective electricity price us dollarkwh,,[' effective electricity price us dollarkwh '],['average effective electricity price us dollarkwh ']
544,average electrical consumption,,[' electrical consumption '],['average electrical consumption ']
545,average electrical consumption per employee or product sold,,[' electrical consumption per employee or product sold '],[' employee or product sold ']
546,average employee costs per airplane,,[' employee costs per airplane '],[' airplane ']
547,average employee costs per book title,,[' employee costs per book title '],[' book title ']
548,average employee costs per casino visitor,,[' employee costs per casino visitor '],[' casino visitor ']
549,average employee costs per concert,,[' employee costs per concert '],[' concert ']
550,average employee costs per convention visitor,,[' employee costs per convention visitor '],[' convention visitor ']
551,average employee costs per cover,,[' employee costs per cover '],[' cover ']
552,average employee costs per dentist chair,,[' employee costs per dentist chair '],[' dentist chair ']
553,average employee costs per dentist treatment,,[' employee costs per dentist treatment '],[' dentist treatment ']
554,average employee costs per gas connection,,[' employee costs per gas connection '],[' gas connection ']
555,average employee costs per gas distribution km,,[' employee costs per gas distribution km '],[' gas distribution km ']
556,average employee costs per graduate,,[' employee costs per graduate '],[' graduate ']
557,average employee costs per hospital bed,,[' employee costs per hospital bed '],[' hospital bed ']
558,average employee costs per incoming phone call,,[' employee costs per incoming phone call '],[' incoming phone call ']
559,average employee costs per laboratory test,,[' employee costs per laboratory test '],[' laboratory test ']
560,average employee costs per movie title,,[' employee costs per movie title '],[' movie title ']
561,average employee costs per music title,,[' employee costs per music title '],[' music title ']
562,average employee costs per newspaper edition,,[' employee costs per newspaper edition '],[' newspaper edition ']
563,average employee costs per power connection,,[' employee costs per power connection '],[' power connection ']
564,average employee costs per power distribution km,,[' employee costs per power distribution km '],[' power distribution km ']
565,average employee costs per project,,[' employee costs per project '],[' project ']
566,average employee costs per project task,,[' employee costs per project task '],[' project task ']
567,average employee costs per radio hour,,[' employee costs per radio hour '],[' radio hour ']
568,average employee costs per real estate rental property,,[' employee costs per real estate rental property '],[' real estate rental property ']
569,average employee costs per rental property,,[' employee costs per rental property '],[' rental property ']
570,average employee costs per room,,[' employee costs per room '],[' room ']
571,average employee costs per seat,,[' employee costs per seat '],[' seat ']
572,average employee costs per sewage connection,,[' employee costs per sewage connection '],[' sewage connection ']
573,average employee costs per sewage km,,[' employee costs per sewage km '],[' sewage km ']
574,average employee costs per ship,,[' employee costs per ship '],[' ship ']
575,average employee costs per square foot of property space,,[' employee costs per square foot of property space '],[' square foot of property space ']
576,average employee costs per store visit,,[' employee costs per store visit '],[' store visit ']
577,average employee costs per student,,[' employee costs per student '],[' student ']
578,average employee costs per table,,[' employee costs per table '],[' table ']
579,average employee costs per telecom tower,,[' employee costs per telecom tower '],[' telecom tower ']
580,average employee costs per television hour,,[' employee costs per television hour '],[' television hour ']
581,average employee costs per train,,[' employee costs per train '],[' train ']
582,average employee costs per treatment,,[' employee costs per treatment '],[' treatment ']
583,average employee costs per treatment room,,[' employee costs per treatment room '],[' treatment room ']
584,average employee costs per truck,,[' employee costs per truck '],[' truck ']
585,average employee costs per water connection,,[' employee costs per water connection '],[' water connection ']
586,average employee costs per water distribution km,,[' employee costs per water distribution km '],[' water distribution km ']
587,average employee engagement score,,[' employee engagement score '],['average employee engagement score ']
588,average employee lost productivity per move _down time,,[' employee lost productivity per move _down time '],[' move _down time ']
589,average employee salary,,[' employee salary '],['average employee salary ']
590,average employee utilization,,[' employee utilization '],['average employee utilization ']
591,average employment period per staff,,[' employment period per staff '],[' staff ']
592,average empty stop time,,[' empty stop time '],['average empty stop time ']
593,average empty travel distance,,[' empty travel distance '],['average empty travel distance ']
594,average empty travel time,,[' empty travel time '],['average empty travel time ']
595,average endowment distribution by student,,[' endowment distribution by student '],['average endowment distribution by student ']
596,average energy consumption across country,,[' energy consumption across country '],['average energy consumption across country ']
597,average engineering change cycle time,,[' engineering change cycle time '],['average engineering change cycle time ']
598,average enrollment time spent per student,,[' enrollment time spent per student '],[' student ']
599,average equipment costs per employee,,[' equipment costs per employee '],[' employee ']
600,average equipment utilization,,[' equipment utilization '],['average equipment utilization ']
601,average errors related to proceduretreatment or test,,[' errors related to proceduretreatment or test '],[' proceduretreatment or test ']
602,average estimated cost savings of employees that are teleworking,,[' estimated cost savings of employees that are teleworking '],[' employees that are teleworking ']
603,average estimated cost savings of employees that are teleworking telecommuting,,[' estimated cost savings of employees that are teleworking telecommuting '],[' employees that are teleworking telecommuting ']
604,average estimated cost savings of telecommuting,,[' estimated cost savings of telecommuting '],[' telecommuting ']
605,average evaluation scores,,[' evaluation scores '],['average evaluation scores ']
606,average excellence award assessment score,,[' excellence award assessment score '],['average excellence award assessment score ']
607,average exit age from the labor force,,[' exit age from the labor force '],['average exit age from the labor force ']
608,average exit age from the labor market by gender,,[' exit age from the labor market by gender '],['average exit age from the labor market by gender ']
609,average expenditure per night,,[' expenditure per night '],[' night ']
610,average expenditure per trip,,[' expenditure per trip '],[' trip ']
611,average expenditures per student,,[' expenditures per student '],[' student ']
612,average expense cost per lost time claim,,[' expense cost per lost time claim '],[' lost time claim ']
613,average expense of generating a single lead through advertising exposure,,[' expense of generating a single lead through advertising exposure '],[' generating a single lead through advertising exposure ']
614,average expenses for student or learners,,[' expenses for student or learners '],['average expenses for student or learners ']
615,average expenses for studentslearners,,[' expenses for studentslearners '],['average expenses for studentslearners ']
616,average expenses per physician fte,,[' expenses per physician fte '],[' physician fte ']
617,average experience with six sigma,,[' experience with six sigma '],['average experience with six sigma ']
618,average exposure to advertisement,,[' exposure to advertisement '],[' advertisement ']
619,average external training budget per employee,,[' external training budget per employee '],[' employee ']
620,average fare revenue per day,,[' fare revenue per day '],[' day ']
621,average fat supply,,[' fat supply '],['average fat supply ']
622,average fee per hour,,[' fee per hour '],[' hour ']
623,average fee per new client,,[' fee per new client '],[' new client ']
624,average fee per property sale,,[' fee per property sale '],[' property sale ']
625,average feedback time on candidates,,[' feedback time on candidates '],['average feedback time on candidates ']
626,average file date,,[' file date '],['average file date ']
627,average finding and development costs,,[' finding and development costs '],['average finding and development costs ']
628,average fire response time in minutes,,[' fire response time in minutes '],[' minutes ']
629,average fixed costs per airplane,,[' fixed costs per airplane '],[' airplane ']
630,average fixed costs per book title,,[' fixed costs per book title '],[' book title ']
631,average fixed costs per concert,,[' fixed costs per concert '],[' concert ']
632,average fixed costs per convention visitor,,[' fixed costs per convention visitor '],[' convention visitor ']
633,average fixed costs per dentist chair,,[' fixed costs per dentist chair '],[' dentist chair ']
634,average fixed costs per dentist treatment,,[' fixed costs per dentist treatment '],[' dentist treatment ']
635,average fixed costs per gas connection,,[' fixed costs per gas connection '],[' gas connection ']
636,average fixed costs per gas distribution km,,[' fixed costs per gas distribution km '],[' gas distribution km ']
637,average fixed costs per graduate,,[' fixed costs per graduate '],[' graduate ']
638,average fixed costs per incoming phone call,,[' fixed costs per incoming phone call '],[' incoming phone call ']
639,average fixed costs per laboratory test,,[' fixed costs per laboratory test '],[' laboratory test ']
640,average fixed costs per movie title,,[' fixed costs per movie title '],[' movie title ']
641,average fixed costs per music title,,[' fixed costs per music title '],[' music title ']
642,average fixed costs per newspaper edition,,[' fixed costs per newspaper edition '],[' newspaper edition ']
643,average fixed costs per power connection,,[' fixed costs per power connection '],[' power connection ']
644,average fixed costs per power distribution km,,[' fixed costs per power distribution km '],[' power distribution km ']
645,average fixed costs per radio hour,,[' fixed costs per radio hour '],[' radio hour ']
646,average fixed costs per real estate rental property,,[' fixed costs per real estate rental property '],[' real estate rental property ']
647,average fixed costs per rental property,,[' fixed costs per rental property '],[' rental property ']
648,average fixed costs per room,,[' fixed costs per room '],[' room ']
649,average fixed costs per seat,,[' fixed costs per seat '],[' seat ']
650,average fixed costs per sewage connection,,[' fixed costs per sewage connection '],[' sewage connection ']
651,average fixed costs per sewage km,,[' fixed costs per sewage km '],[' sewage km ']
652,average fixed costs per ship,,[' fixed costs per ship '],[' ship ']
653,average fixed costs per square foot of property space,,[' fixed costs per square foot of property space '],[' square foot of property space ']
654,average fixed costs per store visit,,[' fixed costs per store visit '],[' store visit ']
655,average fixed costs per student,,[' fixed costs per student '],[' student ']
656,average fixed costs per table,,[' fixed costs per table '],[' table ']
657,average fixed costs per telecom tower,,[' fixed costs per telecom tower '],[' telecom tower ']
658,average fixed costs per television hour,,[' fixed costs per television hour '],[' television hour ']
659,average fixed costs per theater seat,,[' fixed costs per theater seat '],[' theater seat ']
660,average fixed costs per train,,[' fixed costs per train '],[' train ']
661,average fixed costs per treatment,,[' fixed costs per treatment '],[' treatment ']
662,average fixed costs per treatment room,,[' fixed costs per treatment room '],[' treatment room ']
663,average fixed costs per truck,,[' fixed costs per truck '],[' truck ']
664,average fixed costs per water connection,,[' fixed costs per water connection '],[' water connection ']
665,average fixed costs per water distribution km,,[' fixed costs per water distribution km '],[' water distribution km ']
666,average flight distance per crew member,,[' flight distance per crew member '],[' crew member ']
667,average food dessert and beverage sales per head,,[' food dessert and beverage sales per head '],[' head ']
668,average food costs per head,,[' food costs per head '],[' head ']
669,average food order service time,,[' food order service time '],['average food order service time ']
670,average freight costs per parts shipment,,[' freight costs per parts shipment '],[' parts shipment ']
671,average freight revenue per ton_mile,,[' freight revenue per ton_mile '],[' ton_mile ']
672,average frequency of interruptions saifi,,[' frequency of interruptions saifi '],[' interruptions saifi ']
673,average frequency of updates of documents,,[' frequency of updates of documents '],[' updates of documents ']
674,average frequency of voltage fluctuations outside of an acceptable range,,[' frequency of voltage fluctuations outside of an acceptable range '],[' voltage fluctuations outside of an acceptable range ']
675,average freshwater demand per capita,,[' freshwater demand per capita '],[' capita ']
676,average fuel economy by type of vehicle,,[' fuel economy by type of vehicle '],[' vehicle ']
677,average fuel economy of vehicles,,[' fuel economy of vehicles '],[' vehicles ']
678,average fuel use per machine,,[' fuel use per machine '],[' machine ']
679,average full time professor annual salary,,[' full time professor annual salary '],['average full time professor annual salary ']
680,average gap between management and staff pay,,[' gap between management and staff pay '],['average gap between management and staff pay ']
681,average gas consumption per gas connection,,[' gas consumption per gas connection '],[' gas connection ']
682,average gift amount,,[' gift amount '],['average gift amount ']
683,average gift per donor,,[' gift per donor '],[' donor ']
684,average government excellence award score,,[' government excellence award score '],['average government excellence award score ']
685,average gpa,,[' gpa '],['average gpa ']
686,average grace period on new external debt commitments,,[' grace period on new external debt commitments '],['average grace period on new external debt commitments ']
687,average grace period on new external debt commitments official,,[' grace period on new external debt commitments official '],['average grace period on new external debt commitments official ']
688,average grace period on new external debt commitments private,,[' grace period on new external debt commitments private '],['average grace period on new external debt commitments private ']
689,average grades of students,,[' grades of students '],[' students ']
690,average graduate compensation,,[' graduate compensation '],['average graduate compensation ']
691,average graduate starting salary,,[' graduate starting salary '],['average graduate starting salary ']
692,average graduating student debt,,[' graduating student debt '],['average graduating student debt ']
693,average grant element on new external debt commitments,,[' grant element on new external debt commitments '],['average grant element on new external debt commitments ']
694,average grant element on new external debt commitments official,,[' grant element on new external debt commitments official '],['average grant element on new external debt commitments official ']
695,average grant element on new external debt commitments private,,[' grant element on new external debt commitments private '],['average grant element on new external debt commitments private ']
696,average gst rates of services availed,,[' gst rates of services availed '],[' services availed ']
697,average guest appearance cost per revenue,,[' guest appearance cost per revenue '],[' revenue ']
698,average handle time,,[' handle time '],['average handle time ']
699,average handling cost per compliance issue,,[' handling cost per compliance issue '],[' compliance issue ']
700,average handling cost per court case,,[' handling cost per court case '],[' court case ']
701,average handling cost per insurance claim,,[' handling cost per insurance claim '],[' insurance claim ']
702,average handling cost per order,,[' handling cost per order '],[' order ']
703,average handling cost per purchase order requests,,[' handling cost per purchase order requests '],[' purchase order requests ']
704,average handling cost per quotation,,[' handling cost per quotation '],[' quotation ']
705,average handling cost per release,,[' handling cost per release '],[' release ']
706,average handling time of compliance issues,,[' handling time of compliance issues '],[' compliance issues ']
707,average handling time of court cases,,[' handling time of court cases '],[' court cases ']
708,average handling time of insurance claims,,[' handling time of insurance claims '],[' insurance claims ']
709,average handling time of orders,,[' handling time of orders '],[' orders ']
710,average handling time of project issues,,[' handling time of project issues '],[' project issues ']
711,average handling time of purchase order requests,,[' handling time of purchase order requests '],[' purchase order requests ']
712,average handling time of releases,,[' handling time of releases '],[' releases ']
713,average head count per move,,[' head count per move '],[' move ']
714,average headcount of employees each human resources _hr employee,,[' headcount of employees each human resources _hr employee '],[' employees each human resources _hr employee ']
715,average headcount of employees each human resources _hr employee working is caring for,,[' headcount of employees each human resources _hr employee working is caring for '],[' employees each human resources _hr employee working is caring for ']
716,average health expenditure per capita,,[' health expenditure per capita '],[' capita ']
717,average high school rank of freshman class,,[' high school rank of freshman class '],[' freshman class ']
718,average high_school rank of freshman class,,[' high_school rank of freshman class '],[' freshman class ']
719,average hold time of calls,,[' hold time of calls '],[' calls ']
720,average hospital stay,,[' hospital stay '],['average hospital stay ']
721,average hourly earnings excluding overtime in building construction,,[' hourly earnings excluding overtime in building construction '],[' building construction ']
722,average hourly fee,,[' hourly fee '],['average hourly fee ']
723,average hourly pay,,[' hourly pay '],['average hourly pay ']
724,average hours actually worked,,[' hours actually worked '],['average hours actually worked ']
725,average hours employee is actively working per day,,[' hours employee is actively working per day '],[' day ']
726,average hours of development training for staff per year,,[' hours of development training for staff per year '],[' development training for staff per year ']
727,average hours of service per student,,[' hours of service per student '],[' service per student ']
728,average hours per day mother spends with her kids,,[' hours per day mother spends with her kids '],[' day mother spends with her kids ']
729,average hours per day women and men spend fetching water and collecting fuel,,[' hours per day women and men spend fetching water and collecting fuel '],[' day women and men spend fetching water and collecting fuel ']
730,average hours spent per proposal,,[' hours spent per proposal '],[' proposal ']
731,average hours worked per week,,[' hours worked per week '],[' week ']
732,average hoursday mother spends with her kids,,[' hoursday mother spends with her kids '],['average hoursday mother spends with her kids ']
733,average household benefit,,[' household benefit '],['average household benefit ']
734,average household size,,[' household size '],['average household size ']
735,average household size in selected arab states,,[' household size in selected arab states '],[' selected arab states ']
736,average household taxes concentration coefficients,,[' household taxes concentration coefficients '],['average household taxes concentration coefficients ']
737,average housing cost,,[' housing cost '],['average housing cost ']
738,average hr regulatory compliance expense per employee,,[' hr regulatory compliance expense per employee '],[' employee ']
739,average immigration time,,[' immigration time '],['average immigration time ']
740,average incident closure duration,,[' incident closure duration '],['average incident closure duration ']
741,average incident response time,,[' incident response time '],['average incident response time ']
742,average incidents per account,,[' incidents per account '],[' account ']
743,average incidents solved by flm,,[' incidents solved by flm '],['average incidents solved by flm ']
744,average income by education institution graduation year sex and type of income,,[' income by education institution graduation year sex and type of income '],[' income ']
745,average income by racial and cultural background,,[' income by racial and cultural background '],['average income by racial and cultural background ']
746,average income of households,,[' income of households '],[' households ']
747,average income per employee by hour,,[' income per employee by hour '],[' employee by hour ']
748,average income per employee by month,,[' income per employee by month '],[' employee by month ']
749,average income per employee by position,,[' income per employee by position '],[' employee by position ']
750,average increase in grade level achieved by inmates,,[' increase in grade level achieved by inmates '],[' grade level achieved by inmates ']
751,average increase in grade level achieved by inmates participating in educational programs,,[' increase in grade level achieved by inmates participating in educational programs '],[' grade level achieved by inmates participating in educational programs ']
752,average indemnity cost per lost time claim,,[' indemnity cost per lost time claim '],[' lost time claim ']
753,average information security maturity level score from executive branch agencies,,[' information security maturity level score from executive branch agencies '],['average information security maturity level score from executive branch agencies ']
754,average insurance claim processing time & cost,,[' insurance claim processing time & cost '],['average insurance claim processing time & cost ']
755,average insurance policy size,,[' insurance policy size '],['average insurance policy size ']
756,average interest on new external debt commitments,,[' interest on new external debt commitments '],['average interest on new external debt commitments ']
757,average interest on new external debt commitments official,,[' interest on new external debt commitments official '],['average interest on new external debt commitments official ']
758,average interest on new external debt commitments private,,[' interest on new external debt commitments private '],['average interest on new external debt commitments private ']
759,average international jitter,,[' international jitter '],['average international jitter ']
760,average international round_trip latency,,[' international round_trip latency '],['average international round_trip latency ']
761,average international student load credit,,[' international student load credit '],['average international student load credit ']
762,average international years of staff experience,,[' international years of staff experience '],[' staff experience ']
763,average interviewing costs,,[' interviewing costs '],['average interviewing costs ']
764,average intl price of energy product during the year,,[' intl price of energy product during the year '],[' energy product during the year ']
765,average intl years of staff experience,,[' intl years of staff experience '],[' staff experience ']
766,average inventory,,[' inventory '],['average inventory ']
767,average inventory value,,[' inventory value '],['average inventory value ']
768,average inventory value of maintenance materials,,[' inventory value of maintenance materials '],[' maintenance materials ']
769,average inventory value per inventory holding fte,,[' inventory value per inventory holding fte '],[' inventory holding fte ']
770,average investigation cycle time days,,[' investigation cycle time days '],['average investigation cycle time days ']
771,average investment currentdollar,,[' investment currentdollar '],['average investment currentdollar ']
772,average investment management expense in us dollar per employee,,[' investment management expense in us dollar per employee '],[' us dollar per employee ']
773,average invoicing processing costs,,[' invoicing processing costs '],['average invoicing processing costs ']
774,average it related costs per customer,,[' it related costs per customer '],[' customer ']
775,average it_related costs per customer,,[' it_related costs per customer '],[' customer ']
776,average items per order,,[' items per order '],[' order ']
777,average jail sentence days,,[' jail sentence days '],['average jail sentence days ']
778,average jail sentence _days,,[' jail sentence _days '],['average jail sentence _days ']
779,average journey time congestion per mile during the morning peak,,[' journey time congestion per mile during the morning peak '],[' mile during the morning peak ']
780,average kg of garbage collected per household per week,,[' kg of garbage collected per household per week '],[' garbage collected per household per week ']
781,average kpi improvement,,[' kpi improvement '],['average kpi improvement ']
782,average l2 transaction time,,[' l2 transaction time '],['average l2 transaction time ']
783,average lab test time,,[' lab test time '],['average lab test time ']
784,average lab wide turn around time on cases closed days,,[' lab wide turn around time on cases closed days '],['average lab wide turn around time on cases closed days ']
785,average lab_wide turn_around time on cases closed _days,,[' lab_wide turn_around time on cases closed _days '],['average lab_wide turn_around time on cases closed _days ']
786,average labor cost per guest,,[' labor cost per guest '],[' guest ']
787,average labor cost per table,,[' labor cost per table '],[' table ']
788,average labor expense incurred by the trading operations group to process a single margin call,,[' labor expense incurred by the trading operations group to process a single margin call '],[' process a single margin call ']
789,average labor hours per device per year,,[' labor hours per device per year '],[' device per year ']
790,average laboratory test turn_around time,,[' laboratory test turn_around time '],['average laboratory test turn_around time ']
791,average labour costs per theater seat,,[' labour costs per theater seat '],[' theater seat ']
792,average lag time between customer purchases,,[' lag time between customer purchases '],['average lag time between customer purchases ']
